TASK 2 - PHASE 3: COUPLED DYNAMICS LOG
Both joints simulated simultaneously with load tracking
===========================================================================

SCENARIO: Stand to Lift
   Time |    Hip° |   Knee° |   Hip Load |  Knee Load |   Hip Net |  Knee Net
  3.000 |  37.500 |  38.934 |    7.5882N |    0.5523N |   4.4118N |   7.9477N
  3.010 |  37.625 |  38.952 |    7.5755N |    0.5466N |   4.4245N |   7.9534N
  3.020 |  37.750 |  38.969 |    7.5627N |    0.5409N |   4.4373N |   7.9591N
  3.030 |  37.875 |  38.986 |    7.5500N |    0.5352N |   4.4500N |   7.9648N
  3.040 |  38.000 |  39.003 |    7.5371N |    0.5295N |   4.4629N |   7.9705N
  3.050 |  38.125 |  39.020 |    7.5243N |    0.5238N |   4.4757N |   7.9762N
  3.060 |  38.250 |  39.036 |    7.5114N |    0.5182N |   4.4886N |   7.9818N
  3.070 |  38.375 |  39.052 |    7.4984N |    0.5125N |   4.5016N |   7.9875N
  3.080 |  38.500 |  39.068 |    7.4855N |    0.5069N |   4.5145N |   7.9931N
  3.090 |  38.625 |  39.084 |    7.4724N |    0.5012N |   4.5276N |   7.9988N
  3.100 |  38.750 |  39.099 |    7.4594N |    0.4956N |   4.5406N |   8.0044N
  3.110 |  38.875 |  39.114 |    7.4463N |    0.4900N |   4.5537N |   8.0100N
  3.120 |  39.000 |  39.129 |    7.4332N |    0.4843N |   4.5668N |   8.0157N
  3.130 |  39.125 |  39.143 |    7.4201N |    0.4787N |   4.5799N |   8.0213N
  3.140 |  39.250 |  39.157 |    7.4069N |    0.4731N |   4.5931N |   8.0269N
  3.150 |  39.375 |  39.172 |    7.3937N |    0.4675N |   4.6063N |   8.0325N
  3.160 |  39.500 |  39.185 |    7.3804N |    0.4619N |   4.6196N |   8.0381N
  3.170 |  39.625 |  39.199 |    7.3671N |    0.4563N |   4.6329N |   8.0437N
  3.180 |  39.750 |  39.212 |    7.3538N |    0.4508N |   4.6462N |   8.0492N
  3.190 |  39.875 |  39.225 |    7.3404N |    0.4452N |   4.6596N |   8.0548N
  3.200 |  40.000 |  39.238 |    7.3270N |    0.4396N |   4.6730N |   8.0604N
  3.210 |  40.125 |  39.251 |    7.3136N |    0.4341N |   4.6864N |   8.0659N
  3.220 |  40.250 |  39.264 |    7.3001N |    0.4285N |   4.6999N |   8.0715N
  3.230 |  40.375 |  39.276 |    7.2866N |    0.4230N |   4.7134N |   8.0770N
  3.240 |  40.500 |  39.288 |    7.2731N |    0.4174N |   4.7269N |   8.0826N
  3.250 |  40.625 |  39.300 |    7.2595N |    0.4119N |   4.7405N |   8.0881N
  3.260 |  40.750 |  39.311 |    7.2459N |    0.4064N |   4.7541N |   8.0936N
  3.270 |  40.875 |  39.323 |    7.2323N |    0.4008N |   4.7677N |   8.0992N
  3.280 |  41.000 |  39.334 |    7.2186N |    0.3953N |   4.7814N |   8.1047N
  3.290 |  41.125 |  39.345 |    7.2049N |    0.3898N |   4.7951N |   8.1102N
  3.300 |  41.250 |  39.356 |    7.1912N |    0.3843N |   4.8088N |   8.1157N
  3.310 |  41.375 |  39.367 |    7.1774N |    0.3788N |   4.8226N |   8.1212N
  3.320 |  41.500 |  39.377 |    7.1636N |    0.3733N |   4.8364N |   8.1267N
  3.330 |  41.625 |  39.388 |    7.1497N |    0.3678N |   4.8503N |   8.1322N
  3.340 |  41.750 |  39.398 |    7.1359N |    0.3623N |   4.8641N |   8.1377N
  3.350 |  41.875 |  39.408 |    7.1219N |    0.3568N |   4.8781N |   8.1432N
  3.360 |  42.000 |  39.418 |    7.1080N |    0.3513N |   4.8920N |   8.1487N
  3.370 |  42.125 |  39.428 |    7.0940N |    0.3459N |   4.9060N |   8.1541N
  3.380 |  42.250 |  39.437 |    7.0800N |    0.3404N |   4.9200N |   8.1596N
  3.390 |  42.375 |  39.447 |    7.0660N |    0.3349N |   4.9340N |   8.1651N
  3.400 |  42.500 |  39.456 |    7.0519N |    0.3295N |   4.9481N |   8.1705N
  3.410 |  42.625 |  39.465 |    7.0378N |    0.3240N |   4.9622N |   8.1760N
  3.420 |  42.750 |  39.474 |    7.0236N |    0.3186N |   4.9764N |   8.1814N
  3.430 |  42.875 |  39.483 |    7.0094N |    0.3131N |   4.9906N |   8.1869N
  3.440 |  43.000 |  39.491 |    6.9952N |    0.3077N |   5.0048N |   8.1923N
  3.450 |  43.125 |  39.500 |    6.9810N |    0.3022N |   5.0190N |   8.1978N
  3.460 |  43.250 |  39.508 |    6.9667N |    0.2968N |   5.0333N |   8.2032N
  3.470 |  43.375 |  39.516 |    6.9524N |    0.2914N |   5.0476N |   8.2086N
  3.480 |  43.500 |  39.524 |    6.9380N |    0.2859N |   5.0620N |   8.2141N
  3.490 |  43.625 |  39.532 |    6.9236N |    0.2805N |   5.0764N |   8.2195N
  3.500 |  43.750 |  39.540 |    6.9092N |    0.2751N |   5.0908N |   8.2249N
  3.510 |  43.875 |  39.548 |    6.8948N |    0.2697N |   5.1052N |   8.2303N
  3.520 |  44.000 |  39.555 |    6.8803N |    0.2643N |   5.1197N |   8.2357N
  3.530 |  44.125 |  39.563 |    6.8658N |    0.2589N |   5.1342N |   8.2411N
  3.540 |  44.250 |  39.570 |    6.8512N |    0.2535N |   5.1488N |   8.2465N
  3.550 |  44.375 |  39.577 |    6.8367N |    0.2481N |   5.1633N |   8.2519N
  3.560 |  44.500 |  39.584 |    6.8221N |    0.2427N |   5.1779N |   8.2573N
  3.570 |  44.625 |  39.591 |    6.8074N |    0.2373N |   5.1926N |   8.2627N
  3.580 |  44.750 |  39.598 |    6.7927N |    0.2319N |   5.2073N |   8.2681N
  3.590 |  44.875 |  39.605 |    6.7780N |    0.2265N |   5.2220N |   8.2735N
  3.600 |  45.000 |  39.611 |    6.7633N |    0.2211N |   5.2367N |   8.2789N
  3.610 |  45.125 |  39.618 |    6.7485N |    0.2157N |   5.2515N |   8.2843N
  3.620 |  45.250 |  39.624 |    6.7337N |    0.2104N |   5.2663N |   8.2896N
  3.630 |  45.375 |  39.630 |    6.7189N |    0.2050N |   5.2811N |   8.2950N
  3.640 |  45.500 |  39.636 |    6.7040N |    0.1996N |   5.2960N |   8.3004N
  3.650 |  45.625 |  39.642 |    6.6891N |    0.1942N |   5.3109N |   8.3058N
  3.660 |  45.750 |  39.648 |    6.6742N |    0.1889N |   5.3258N |   8.3111N
  3.670 |  45.875 |  39.654 |    6.6592N |    0.1835N |   5.3408N |   8.3165N
  3.680 |  46.000 |  39.660 |    6.6442N |    0.1782N |   5.3558N |   8.3218N
  3.690 |  46.125 |  39.666 |    6.6292N |    0.1728N |   5.3708N |   8.3272N
  3.700 |  46.250 |  39.671 |    6.6141N |    0.1675N |   5.3859N |   8.3325N
  3.710 |  46.375 |  39.677 |    6.5991N |    0.1621N |   5.4009N |   8.3379N
  3.720 |  46.500 |  39.682 |    6.5839N |    0.1568N |   5.4161N |   8.3432N
  3.730 |  46.625 |  39.688 |    6.5688N |    0.1514N |   5.4312N |   8.3486N
  3.740 |  46.750 |  39.693 |    6.5536N |    0.1461N |   5.4464N |   8.3539N
  3.750 |  46.875 |  39.698 |    6.5384N |    0.1407N |   5.4616N |   8.3593N
  3.760 |  47.000 |  39.703 |    6.5231N |    0.1354N |   5.4769N |   8.3646N
  3.770 |  47.125 |  39.708 |    6.5079N |    0.1301N |   5.4921N |   8.3699N
  3.780 |  47.250 |  39.713 |    6.4926N |    0.1248N |   5.5074N |   8.3752N
  3.790 |  47.375 |  39.717 |    6.4772N |    0.1194N |   5.5228N |   8.3806N
  3.800 |  47.500 |  39.722 |    6.4619N |    0.1141N |   5.5381N |   8.3859N
  3.810 |  47.625 |  39.727 |    6.4465N |    0.1088N |   5.5535N |   8.3912N
  3.820 |  47.750 |  39.731 |    6.4310N |    0.1035N |   5.5690N |   8.3965N
  3.830 |  47.875 |  39.736 |    6.4156N |    0.0981N |   5.5844N |   8.4019N
  3.840 |  48.000 |  39.740 |    6.4001N |    0.0928N |   5.5999N |   8.4072N
  3.850 |  48.125 |  39.745 |    6.3845N |    0.0875N |   5.6155N |   8.4125N
  3.860 |  48.250 |  39.749 |    6.3690N |    0.0822N |   5.6310N |   8.4178N
  3.870 |  48.375 |  39.753 |    6.3534N |    0.0769N |   5.6466N |   8.4231N
  3.880 |  48.500 |  39.757 |    6.3378N |    0.0716N |   5.6622N |   8.4284N
  3.890 |  48.625 |  39.761 |    6.3222N |    0.0663N |   5.6778N |   8.4337N
  3.900 |  48.750 |  39.765 |    6.3065N |    0.0610N |   5.6935N |   8.4390N
  3.910 |  48.875 |  39.769 |    6.2908N |    0.0557N |   5.7092N |   8.4443N
  3.920 |  49.000 |  39.773 |    6.2750N |    0.0504N |   5.7250N |   8.4496N
  3.930 |  49.125 |  39.777 |    6.2593N |    0.0451N |   5.7407N |   8.4549N
  3.940 |  49.250 |  39.780 |    6.2435N |    0.0398N |   5.7565N |   8.4602N
  3.950 |  49.375 |  39.784 |    6.2277N |    0.0346N |   5.7723N |   8.4654N
  3.960 |  49.500 |  39.788 |    6.2118N |    0.0293N |   5.7882N |   8.4707N
  3.970 |  49.625 |  39.791 |    6.1959N |    0.0240N |   5.8041N |   8.4760N
  3.980 |  49.750 |  39.795 |    6.1800N |    0.0187N |   5.8200N |   8.4813N
  3.990 |  49.875 |  39.798 |    6.1641N |    0.0134N |   5.8359N |   8.4866N
  4.000 |  50.000 |  39.801 |    6.1481N |    0.0082N |   5.8519N |   8.4918N

SCENARIO: Hip Only Motion
   Time |    Hip° |   Knee° |   Hip Load |  Knee Load |   Hip Net |  Knee Net
----------------------------------------------------------------------
  0.010 |   0.125 |   0.000 |    9.5647N |    2.3544N |   2.4353N |   6.1456N
  0.020 |   0.250 |   0.000 |    9.5647N |    2.3544N |   2.4353N |   6.1456N
  0.030 |   0.375 |   0.000 |    9.5645N |    2.3543N |   2.4355N |   6.1457N
  0.040 |   0.500 |   0.000 |    9.5644N |    2.3543N |   2.4356N |   6.1457N
  0.050 |   0.625 |   0.000 |    9.5642N |    2.3543N |   2.4358N |   6.1457N
  0.060 |   0.750 |   0.000 |    9.5639N |    2.3542N |   2.4361N |   6.1458N
  0.070 |   0.875 |   0.000 |    9.5636N |    2.3541N |   2.4364N |   6.1459N
  0.080 |   1.000 |   0.000 |    9.5633N |    2.3540N |   2.4367N |   6.1460N
  0.090 |   1.125 |   0.000 |    9.5629N |    2.3539N |   2.4371N |   6.1461N
  0.100 |   1.250 |   0.000 |    9.5625N |    2.3538N |   2.4375N |   6.1462N
  0.110 |   1.375 |   0.000 |    9.5620N |    2.3537N |   2.4380N |   6.1463N
  0.120 |   1.500 |   0.000 |    9.5615N |    2.3536N |   2.4385N |   6.1464N
  0.130 |   1.625 |   0.000 |    9.5609N |    2.3535N |   2.4391N |   6.1465N
  0.140 |   1.750 |   0.000 |    9.5603N |    2.3533N |   2.4397N |   6.1467N
  0.150 |   1.875 |   0.000 |    9.5596N |    2.3531N |   2.4404N |   6.1469N
  0.160 |   2.000 |   0.000 |    9.5589N |    2.3530N |   2.4411N |   6.1470N
  0.170 |   2.125 |   0.000 |    9.5582N |    2.3528N |   2.4418N |   6.1472N
  0.180 |   2.250 |   0.000 |    9.5574N |    2.3526N |   2.4426N |   6.1474N
  0.190 |   2.375 |   0.000 |    9.5565N |    2.3524N |   2.4435N |   6.1476N
  0.200 |   2.500 |   0.000 |    9.5556N |    2.3522N |   2.4444N |   6.1478N
  0.210 |   2.625 |   0.000 |    9.5547N |    2.3519N |   2.4453N |   6.1481N
  0.220 |   2.750 |   0.000 |    9.5537N |    2.3517N |   2.4463N |   6.1483N
  0.230 |   2.875 |   0.000 |    9.5527N |    2.3514N |   2.4473N |   6.1486N
  0.240 |   3.000 |   0.000 |    9.5516N |    2.3512N |   2.4484N |   6.1488N
  0.250 |   3.125 |   0.000 |    9.5505N |    2.3509N |   2.4495N |   6.1491N
  0.260 |   3.250 |   0.000 |    9.5494N |    2.3506N |   2.4506N |   6.1494N
  0.270 |   3.375 |   0.000 |    9.5482N |    2.3503N |   2.4518N |   6.1497N
  0.280 |   3.500 |   0.000 |    9.5469N |    2.3500N |   2.4531N |   6.1500N
  0.290 |   3.625 |   0.000 |    9.5456N |    2.3497N |   2.4544N |   6.1503N
  0.300 |   3.750 |   0.000 |    9.5443N |    2.3494N |   2.4557N |   6.1506N
  0.310 |   3.875 |   0.000 |    9.5429N |    2.3490N |   2.4571N |   6.1510N
  0.320 |   4.000 |   0.000 |    9.5415N |    2.3487N |   2.4585N |   6.1513N
  0.330 |   4.125 |   0.000 |    9.5400N |    2.3483N |   2.4600N |   6.1517N
  0.340 |   4.250 |   0.000 |    9.5384N |    2.3479N |   2.4616N |   6.1521N
  0.350 |   4.375 |   0.000 |    9.5369N |    2.3475N |   2.4631N |   6.1525N
  0.360 |   4.500 |   0.000 |    9.5353N |    2.3471N |   2.4647N |   6.1529N
  0.370 |   4.625 |   0.000 |    9.5336N |    2.3467N |   2.4664N |   6.1533N
  0.380 |   4.750 |   0.000 |    9.5319N |    2.3463N |   2.4681N |   6.1537N
  0.390 |   4.875 |   0.000 |    9.5301N |    2.3459N |   2.4699N |   6.1541N
  0.400 |   5.000 |   0.000 |    9.5284N |    2.3454N |   2.4716N |   6.1546N
  0.410 |   5.125 |   0.000 |    9.5265N |    2.3450N |   2.4735N |   6.1550N
  0.420 |   5.250 |   0.000 |    9.5246N |    2.3445N |   2.4754N |   6.1555N
  0.430 |   5.375 |   0.000 |    9.5227N |    2.3440N |   2.4773N |   6.1560N
  0.440 |   5.500 |   0.000 |    9.5207N |    2.3436N |   2.4793N |   6.1564N
  0.450 |   5.625 |   0.000 |    9.5187N |    2.3431N |   2.4813N |   6.1569N
  0.460 |   5.750 |   0.000 |    9.5166N |    2.3426N |   2.4834N |   6.1574N
  0.470 |   5.875 |   0.000 |    9.5145N |    2.3420N |   2.4855N |   6.1580N
  0.480 |   6.000 |   0.000 |    9.5124N |    2.3415N |   2.4876N |   6.1585N
  0.490 |   6.125 |   0.000 |    9.5101N |    2.3410N |   2.4899N |   6.1590N
  0.500 |   6.250 |   0.000 |    9.5079N |    2.3404N |   2.4921N |   6.1596N
  0.510 |   6.375 |   0.000 |    9.5056N |    2.3398N |   2.4944N |   6.1602N
  0.520 |   6.500 |   0.000 |    9.5033N |    2.3393N |   2.4967N |   6.1607N
  0.530 |   6.625 |   0.000 |    9.5009N |    2.3387N |   2.4991N |   6.1613N
  0.540 |   6.750 |   0.000 |    9.4985N |    2.3381N |   2.5015N |   6.1619N
  0.550 |   6.875 |   0.000 |    9.4960N |    2.3375N |   2.5040N |   6.1625N
  0.560 |   7.000 |   0.000 |    9.4935N |    2.3369N |   2.5065N |   6.1631N
  0.570 |   7.125 |   0.000 |    9.4909N |    2.3362N |   2.5091N |   6.1638N
  0.580 |   7.250 |   0.000 |    9.4883N |    2.3356N |   2.5117N |   6.1644N
  0.590 |   7.375 |   0.000 |    9.4856N |    2.3349N |   2.5144N |   6.1651N
  0.600 |   7.500 |   0.000 |    9.4829N |    2.3343N |   2.5171N |   6.1657N
  0.610 |   7.625 |   0.000 |    9.4802N |    2.3336N |   2.5198N |   6.1664N
  0.620 |   7.750 |   0.000 |    9.4774N |    2.3329N |   2.5226N |   6.1671N
  0.630 |   7.875 |   0.000 |    9.4745N |    2.3322N |   2.5255N |   6.1678N
  0.640 |   8.000 |   0.000 |    9.4717N |    2.3315N |   2.5283N |   6.1685N
  0.650 |   8.125 |   0.000 |    9.4687N |    2.3308N |   2.5313N |   6.1692N
  0.660 |   8.250 |   0.000 |    9.4658N |    2.3300N |   2.5342N |   6.1700N
  0.670 |   8.375 |   0.000 |    9.4628N |    2.3293N |   2.5372N |   6.1707N
  0.680 |   8.500 |   0.000 |    9.4597N |    2.3285N |   2.5403N |   6.1715N
  0.690 |   8.625 |   0.000 |    9.4566N |    2.3278N |   2.5434N |   6.1722N
  0.700 |   8.750 |   0.000 |    9.4534N |    2.3270N |   2.5466N |   6.1730N
  0.710 |   8.875 |   0.000 |    9.4502N |    2.3262N |   2.5498N |   6.1738N
  0.720 |   9.000 |   0.000 |    9.4470N |    2.3254N |   2.5530N |   6.1746N
  0.730 |   9.125 |   0.000 |    9.4437N |    2.3246N |   2.5563N |   6.1754N
  0.740 |   9.250 |   0.000 |    9.4404N |    2.3238N |   2.5596N |   6.1762N
  0.750 |   9.375 |   0.000 |    9.4370N |    2.3230N |   2.5630N |   6.1770N
  0.760 |   9.500 |   0.000 |    9.4336N |    2.3221N |   2.5664N |   6.1779N
  0.770 |   9.625 |   0.000 |    9.4301N |    2.3213N |   2.5699N |   6.1787N
  0.780 |   9.750 |   0.000 |    9.4266N |    2.3204N |   2.5734N |   6.1796N
  0.790 |   9.875 |   0.000 |    9.4230N |    2.3195N |   2.5770N |   6.1805N
  0.800 |  10.000 |   0.000 |    9.4194N |    2.3186N |   2.5806N |   6.1814N
  0.810 |  10.125 |   0.000 |    9.4158N |    2.3177N |   2.5842N |   6.1823N
  0.820 |  10.250 |   0.000 |    9.4121N |    2.3168N |   2.5879N |   6.1832N
  0.830 |  10.375 |   0.000 |    9.4084N |    2.3159N |   2.5916N |   6.1841N
  0.840 |  10.500 |   0.000 |    9.4046N |    2.3150N |   2.5954N |   6.1850N
  0.850 |  10.625 |   0.000 |    9.4008N |    2.3140N |   2.5992N |   6.1860N
  0.860 |  10.750 |   0.000 |    9.3969N |    2.3131N |   2.6031N |   6.1869N
  0.870 |  10.875 |   0.000 |    9.3930N |    2.3121N |   2.6070N |   6.1879N
  0.880 |  11.000 |   0.000 |    9.3890N |    2.3111N |   2.6110N |   6.1889N
  0.890 |  11.125 |   0.000 |    9.3850N |    2.3102N |   2.6150N |   6.1898N
  0.900 |  11.250 |   0.000 |    9.3810N |    2.3092N |   2.6190N |   6.1908N
  0.910 |  11.375 |   0.000 |    9.3769N |    2.3082N |   2.6231N |   6.1918N
  0.920 |  11.500 |   0.000 |    9.3727N |    2.3071N |   2.6273N |   6.1929N
  0.930 |  11.625 |   0.000 |    9.3686N |    2.3061N |   2.6314N |   6.1939N
  0.940 |  11.750 |   0.000 |    9.3643N |    2.3051N |   2.6357N |   6.1949N
  0.950 |  11.875 |   0.000 |    9.3601N |    2.3040N |   2.6399N |   6.1960N
  0.960 |  12.000 |   0.000 |    9.3557N |    2.3030N |   2.6443N |   6.1970N
  0.970 |  12.125 |   0.000 |    9.3514N |    2.3019N |   2.6486N |   6.1981N
  0.980 |  12.250 |   0.000 |    9.3470N |    2.3008N |   2.6530N |   6.1992N
  0.990 |  12.375 |   0.000 |    9.3425N |    2.2997N |   2.6575N |   6.2003N
  1.000 |  12.500 |   0.000 |    9.3380N |    2.2986N |   2.6620N |   6.2014N
  1.010 |  12.625 |   0.000 |    9.3335N |    2.2975N |   2.6665N |   6.2025N
  1.020 |  12.750 |   0.000 |    9.3289N |    2.2963N |   2.6711N |   6.2037N
  1.030 |  12.875 |   0.000 |    9.3243N |    2.2952N |   2.6757N |   6.2048N
  1.040 |  13.000 |   0.000 |    9.3196N |    2.2941N |   2.6804N |   6.2059N
  1.050 |  13.125 |   0.000 |    9.3149N |    2.2929N |   2.6851N |   6.2071N
  1.060 |  13.250 |   0.000 |    9.3101N |    2.2917N |   2.6899N |   6.2083N
  1.070 |  13.375 |   0.000 |    9.3053N |    2.2905N |   2.6947N |   6.2095N
  1.080 |  13.500 |   0.000 |    9.3005N |    2.2893N |   2.6995N |   6.2107N
  1.090 |  13.625 |   0.000 |    9.2956N |    2.2881N |   2.7044N |   6.2119N
  1.100 |  13.750 |   0.000 |    9.2906N |    2.2869N |   2.7094N |   6.2131N
  1.110 |  13.875 |   0.000 |    9.2857N |    2.2857N |   2.7143N |   6.2143N
  1.120 |  14.000 |   0.000 |    9.2806N |    2.2845N |   2.7194N |   6.2155N
  1.130 |  14.125 |   0.000 |    9.2756N |    2.2832N |   2.7244N |   6.2168N
  1.140 |  14.250 |   0.000 |    9.2705N |    2.2820N |   2.7295N |   6.2180N
  1.150 |  14.375 |   0.000 |    9.2653N |    2.2807N |   2.7347N |   6.2193N
  1.160 |  14.500 |   0.000 |    9.2601N |    2.2794N |   2.7399N |   6.2206N
  1.170 |  14.625 |   0.000 |    9.2548N |    2.2781N |   2.7452N |   6.2219N
  1.180 |  14.750 |   0.000 |    9.2496N |    2.2768N |   2.7504N |   6.2232N
  1.190 |  14.875 |   0.000 |    9.2442N |    2.2755N |   2.7558N |   6.2245N
  1.200 |  15.000 |   0.000 |    9.2388N |    2.2742N |   2.7612N |   6.2258N
  1.210 |  15.125 |   0.000 |    9.2334N |    2.2728N |   2.7666N |   6.2272N
  1.220 |  15.250 |   0.000 |    9.2279N |    2.2715N |   2.7721N |   6.2285N
  1.230 |  15.375 |   0.000 |    9.2224N |    2.2701N |   2.7776N |   6.2299N
  1.240 |  15.500 |   0.000 |    9.2169N |    2.2688N |   2.7831N |   6.2312N
  1.250 |  15.625 |   0.000 |    9.2113N |    2.2674N |   2.7887N |   6.2326N
  1.260 |  15.750 |   0.000 |    9.2056N |    2.2660N |   2.7944N |   6.2340N
  1.270 |  15.875 |   0.000 |    9.2000N |    2.2646N |   2.8000N |   6.2354N
  1.280 |  16.000 |   0.000 |    9.1942N |    2.2632N |   2.8058N |   6.2368N
  1.290 |  16.125 |   0.000 |    9.1885N |    2.2618N |   2.8115N |   6.2382N
  1.300 |  16.250 |   0.000 |    9.1826N |    2.2603N |   2.8174N |   6.2397N
  1.310 |  16.375 |   0.000 |    9.1768N |    2.2589N |   2.8232N |   6.2411N
  1.320 |  16.500 |   0.000 |    9.1709N |    2.2574N |   2.8291N |   6.2426N
  1.330 |  16.625 |   0.000 |    9.1649N |    2.2560N |   2.8351N |   6.2440N
  1.340 |  16.750 |   0.000 |    9.1589N |    2.2545N |   2.8411N |   6.2455N
  1.350 |  16.875 |   0.000 |    9.1529N |    2.2530N |   2.8471N |   6.2470N
  1.360 |  17.000 |   0.000 |    9.1468N |    2.2515N |   2.8532N |   6.2485N
  1.370 |  17.125 |   0.000 |    9.1407N |    2.2500N |   2.8593N |   6.2500N
  1.380 |  17.250 |   0.000 |    9.1345N |    2.2485N |   2.8655N |   6.2515N
  1.390 |  17.375 |   0.000 |    9.1283N |    2.2470N |   2.8717N |   6.2530N
  1.400 |  17.500 |   0.000 |    9.1221N |    2.2454N |   2.8779N |   6.2546N
  1.410 |  17.625 |   0.000 |    9.1158N |    2.2439N |   2.8842N |   6.2561N
  1.420 |  17.750 |   0.000 |    9.1094N |    2.2423N |   2.8906N |   6.2577N
  1.430 |  17.875 |   0.000 |    9.1030N |    2.2407N |   2.8970N |   6.2593N
  1.440 |  18.000 |   0.000 |    9.0966N |    2.2392N |   2.9034N |   6.2608N
  1.450 |  18.125 |   0.000 |    9.0901N |    2.2376N |   2.9099N |   6.2624N
  1.460 |  18.250 |   0.000 |    9.0836N |    2.2360N |   2.9164N |   6.2640N
  1.470 |  18.375 |   0.000 |    9.0771N |    2.2344N |   2.9229N |   6.2656N
  1.480 |  18.500 |   0.000 |    9.0705N |    2.2327N |   2.9295N |   6.2673N
  1.490 |  18.625 |   0.000 |    9.0638N |    2.2311N |   2.9362N |   6.2689N
  1.500 |  18.750 |   0.000 |    9.0571N |    2.2295N |   2.9429N |   6.2705N
  1.510 |  18.875 |   0.000 |    9.0504N |    2.2278N |   2.9496N |   6.2722N
  1.520 |  19.000 |   0.000 |    9.0436N |    2.2261N |   2.9564N |   6.2739N
  1.530 |  19.125 |   0.000 |    9.0368N |    2.2245N |   2.9632N |   6.2755N
  1.540 |  19.250 |   0.000 |    9.0300N |    2.2228N |   2.9700N |   6.2772N
  1.550 |  19.375 |   0.000 |    9.0231N |    2.2211N |   2.9769N |   6.2789N
  1.560 |  19.500 |   0.000 |    9.0161N |    2.2194N |   2.9839N |   6.2806N
  1.570 |  19.625 |   0.000 |    9.0091N |    2.2176N |   2.9909N |   6.2824N
  1.580 |  19.750 |   0.000 |    9.0021N |    2.2159N |   2.9979N |   6.2841N
  1.590 |  19.875 |   0.000 |    8.9950N |    2.2142N |   3.0050N |   6.2858N
  1.600 |  20.000 |   0.000 |    8.9879N |    2.2124N |   3.0121N |   6.2876N
  1.610 |  20.125 |   0.000 |    8.9808N |    2.2107N |   3.0192N |   6.2893N
  1.620 |  20.250 |   0.000 |    8.9736N |    2.2089N |   3.0264N |   6.2911N
  1.630 |  20.375 |   0.000 |    8.9663N |    2.2071N |   3.0337N |   6.2929N
  1.640 |  20.500 |   0.000 |    8.9590N |    2.2053N |   3.0410N |   6.2947N
  1.650 |  20.625 |   0.000 |    8.9517N |    2.2035N |   3.0483N |   6.2965N
  1.660 |  20.750 |   0.000 |    8.9443N |    2.2017N |   3.0557N |   6.2983N
  1.670 |  20.875 |   0.000 |    8.9369N |    2.1999N |   3.0631N |   6.3001N
  1.680 |  21.000 |   0.000 |    8.9295N |    2.1980N |   3.0705N |   6.3020N
  1.690 |  21.125 |   0.000 |    8.9220N |    2.1962N |   3.0780N |   6.3038N
  1.700 |  21.250 |   0.000 |    8.9144N |    2.1943N |   3.0856N |   6.3057N
  1.710 |  21.375 |   0.000 |    8.9068N |    2.1925N |   3.0932N |   6.3075N
  1.720 |  21.500 |   0.000 |    8.8992N |    2.1906N |   3.1008N |   6.3094N
  1.730 |  21.625 |   0.000 |    8.8915N |    2.1887N |   3.1085N |   6.3113N
  1.740 |  21.750 |   0.000 |    8.8838N |    2.1868N |   3.1162N |   6.3132N
  1.750 |  21.875 |   0.000 |    8.8761N |    2.1849N |   3.1239N |   6.3151N
  1.760 |  22.000 |   0.000 |    8.8683N |    2.1830N |   3.1317N |   6.3170N
  1.770 |  22.125 |   0.000 |    8.8604N |    2.1810N |   3.1396N |   6.3190N
  1.780 |  22.250 |   0.000 |    8.8526N |    2.1791N |   3.1474N |   6.3209N
  1.790 |  22.375 |   0.000 |    8.8446N |    2.1771N |   3.1554N |   6.3229N
  1.800 |  22.500 |   0.000 |    8.8367N |    2.1752N |   3.1633N |   6.3248N
  1.810 |  22.625 |   0.000 |    8.8287N |    2.1732N |   3.1713N |   6.3268N
  1.820 |  22.750 |   0.000 |    8.8206N |    2.1712N |   3.1794N |   6.3288N
  1.830 |  22.875 |   0.000 |    8.8125N |    2.1692N |   3.1875N |   6.3308N
  1.840 |  23.000 |   0.000 |    8.8044N |    2.1672N |   3.1956N |   6.3328N
  1.850 |  23.125 |   0.000 |    8.7962N |    2.1652N |   3.2038N |   6.3348N
  1.860 |  23.250 |   0.000 |    8.7880N |    2.1632N |   3.2120N |   6.3368N
  1.870 |  23.375 |   0.000 |    8.7798N |    2.1612N |   3.2202N |   6.3388N
  1.880 |  23.500 |   0.000 |    8.7715N |    2.1591N |   3.2285N |   6.3409N
  1.890 |  23.625 |   0.000 |    8.7631N |    2.1571N |   3.2369N |   6.3429N
  1.900 |  23.750 |   0.000 |    8.7547N |    2.1550N |   3.2453N |   6.3450N
  1.910 |  23.875 |   0.000 |    8.7463N |    2.1529N |   3.2537N |   6.3471N
  1.920 |  24.000 |   0.000 |    8.7378N |    2.1509N |   3.2622N |   6.3491N
  1.930 |  24.125 |   0.000 |    8.7293N |    2.1488N |   3.2707N |   6.3512N
  1.940 |  24.250 |   0.000 |    8.7208N |    2.1467N |   3.2792N |   6.3533N
  1.950 |  24.375 |   0.000 |    8.7122N |    2.1445N |   3.2878N |   6.3555N
  1.960 |  24.500 |   0.000 |    8.7036N |    2.1424N |   3.2964N |   6.3576N
  1.970 |  24.625 |   0.000 |    8.6949N |    2.1403N |   3.3051N |   6.3597N
  1.980 |  24.750 |   0.000 |    8.6862N |    2.1381N |   3.3138N |   6.3619N
  1.990 |  24.875 |   0.000 |    8.6774N |    2.1360N |   3.3226N |   6.3640N
